Input,Output 1,Output 2
22.625000,dfb1c7ee,5f31c7ee
22.687500,dfb1bbf8,5f31bbf8
22.750000,dfb1b051,5f31b051
22.812500,dfb1a4fa,5f31a4fa
22.875000,dfb199f2,5f3199f2
22.937500,dfb18f39,5f318f39
23.000000,dfb184cd,5f3184cd
23.062500,dfb17ab0,5f317ab0
23.125000,dfb170df,5f3170df
23.187500,dfb1675a,5f31675a
23.250000,dfb15e22,5f315e22
23.312500,dfb15535,5f315535
23.375000,dfb14c93,5f314c93
23.437500,dfb1443b,5f31443b
23.500000,dfb13c2e,5f313c2e
23.562500,dfb13469,5f313469
23.625000,dfb12cee,5f312cee
23.687500,dfb125bb,5f3125bb
23.750000,dfb11ed0,5f311ed0
23.812500,dfb1182d,5f31182d
23.875000,dfb111d1,5f3111d1
23.937500,dfb10bbb,5f310bbb
24.000000,dfb105ec,5f3105ec
24.062500,dfb10062,5f310062
24.125000,dfb0fb1d,5f30fb1d
24.187500,dfb0f61d,5f30f61d
24.250000,dfb0f162,5f30f162
24.312500,dfb0ecea,5f30ecea
24.375000,dfb0e8b6,5f30e8b6
24.437500,dfb0e4c5,5f30e4c5
24.500000,dfb0e116,5f30e116
24.562500,dfb0ddaa,5f30ddaa
24.625000,dfb0da7f,5f30da7f
24.687500,dfb0d796,5f30d796
24.750000,dfb0d4ed,5f30d4ed
24.812500,dfb0d285,5f30d285
24.875000,dfb0d05e,5f30d05e
24.937500,dfb0ce76,5f30ce76
25.000000,dfb0cccd,5f30cccd
25.062500,dfb0cb63,5f30cb63
25.125000,dfb0ca38,5f30ca38
25.187500,dfb0c94b,5f30c94b
25.250000,dfb0c89b,5f30c89b
25.312500,dfb0c829,5f30c829
25.375000,dfb0c7f4,5f30c7f4
25.437500,dfb0c7fc,5f30c7fc
25.500000,dfb0c83f,5f30c83f
25.562500,dfb0c8bf,5f30c8bf
25.625000,dfb0c97a,5f30c97a
25.687500,dfb0ca71,5f30ca71
25.750000,dfb0cba2,5f30cba2
25.812500,dfb0cd0d,5f30cd0d
25.875000,dfb0ceb3,5f30ceb3
25.937500,dfb0d092,5f30d092
26.000000,dfb0d2ab,5f30d2ab
26.062500,dfb0d4fd,5f30d4fd
26.125000,dfb0d787,5f30d787
26.187500,dfb0da4a,5f30da4a
26.250000,dfb0dd45,5f30dd45
26.312500,dfb0e078,5f30e078
26.375000,dfb0e3e2,5f30e3e2
26.437500,dfb0e783,5f30e783
26.500000,dfb0eb5a,5f30eb5a
26.562500,dfb0ef68,5f30ef68
26.625000,dfb0f3ac,5f30f3ac
26.687500,dfb0f826,5f30f826
26.750000,dfb0fcd6,5f30fcd6
26.812500,dfb101ba,5f3101ba
26.875000,dfb106d3,5f3106d3
26.937500,dfb10c21,5f310c21
27.000000,dfb111a3,5f3111a3
27.062500,dfb11759,5f311759
27.125000,dfb11d42,5f311d42
27.187500,dfb1235f,5f31235f
27.250000,dfb129af,5f3129af
27.312500,dfb13031,5f313031
27.375000,dfb136e6,5f3136e6
27.437500,dfb13dcd,5f313dcd
27.500000,dfb144e6,5f3144e6
27.562500,dfb14c31,5f314c31
27.625000,dfb153ad,5f3153ad
27.687500,dfb15b59,5f315b59
27.750000,dfb16337,5f316337
27.812500,dfb16b45,5f316b45
27.875000,dfb17383,5f317383
