Input,Constant,Output
21.500000,5f32db4c,0.215666
21.562500,5f32c7f3,0.215353
21.625000,5f32b503,0.215041
21.687500,5f32a27c,0.214731
21.750000,5f32905e,0.214423
21.812500,5f327ea7,0.214115
21.875000,5f326d58,0.213809
21.937500,5f325c70,0.213504
22.000000,5f324bed,0.213201
22.062500,5f323bd1,0.212899
22.125000,5f322c19,0.212598
22.187500,5f321cc6,0.212298
22.250000,5f320dd7,0.212000
22.312500,5f31ff4b,0.211702
22.375000,5f31f122,0.211407
22.437500,5f31e35b,0.211112
22.500000,5f31d5f5,0.210818
22.562500,5f31c8f0,0.210526
22.625000,5f31bc4b,0.210235
22.687500,5f31b006,0.209946
22.750000,5f31a420,0.209657
22.812500,5f319898,0.209370
22.875000,5f318d6d,0.209083
22.937500,5f3182a0,0.208798
23.000000,5f31782e,0.208514
23.062500,5f316e19,0.208232
23.125000,5f31645e,0.207950
23.187500,5f315afd,0.207670
23.250000,5f3151f7,0.207390
23.312500,5f314949,0.207112
23.375000,5f3140f3,0.206835
23.437500,5f3138f5,0.206559
23.500000,5f31314d,0.206284
23.562500,5f3129fc,0.206010
23.625000,5f312300,0.205738
23.687500,5f311c58,0.205466
23.750000,5f311605,0.205196
23.812500,5f311005,0.204926
23.875000,5f310a57,0.204658
23.937500,5f3104fc,0.204390
24.000000,5f30fff1,0.204124
24.062500,5f30fb37,0.203859
24.125000,5f30f6cd,0.203595
24.187500,5f30f2b1,0.203331
24.250000,5f30eee4,0.203069
24.312500,5f30eb65,0.202808
24.375000,5f30e832,0.202548
24.437500,5f30e54c,0.202289
24.500000,5f30e2b1,0.202031
24.562500,5f30e060,0.201773
24.625000,5f30de5a,0.201517
24.687500,5f30dc9c,0.201262
24.750000,5f30db28,0.201008
24.812500,5f30d9fb,0.200754
24.875000,5f30d915,0.200502
24.937500,5f30d876,0.200250
25.000000,5f30d81c,0.200000
25.062500,5f30d807,0.199750
25.125000,5f30d836,0.199502
25.187500,5f30d8a9,0.199254
25.250000,5f30d95f,0.199007
25.312500,5f30da57,0.198762
25.375000,5f30db90,0.198517
25.437500,5f30dd09,0.198273
25.500000,5f30dec3,0.198029
25.562500,5f30e0bc,0.197787
25.625000,5f30e2f3,0.197546
25.687500,5f30e569,0.197305
25.750000,5f30e81b,0.197066
25.812500,5f30eb0a,0.196827
25.875000,5f30ee34,0.196589
25.937500,5f30f199,0.196352
26.000000,5f30f539,0.196116
26.062500,5f30f912,0.195881
26.125000,5f30fd25,0.195646
26.187500,5f31016f,0.195413
26.250000,5f3105f1,0.195180
26.312500,5f310aaa,0.194948
26.375000,5f310f99,0.194717
26.437500,5f3114be,0.194486
26.500000,5f311a17,0.194257
26.562500,5f311fa4,0.194028
26.625000,5f312565,0.193800
26.687500,5f312b59,0.193573
26.750000,5f31317f,0.193347
26.812500,5f3137d7,0.193121
26.875000,5f313e5f,0.192897
26.937500,5f314517,0.192673
27.000000,5f314bff,0.192450
27.062500,5f315316,0.192227
27.125000,5f315a5a,0.192006
27.187500,5f3161cd,0.191785
27.250000,5f31696c,0.191565
27.312500,5f317138,0.191345
27.375000,5f31792f,0.191127
27.437500,5f318152,0.190909
27.500000,5f31899f,0.190692
27.562500,5f319215,0.190476
27.625000,5f319ab5,0.190260
27.687500,5f31a37d,0.190045
27.750000,5f31ac6e,0.189831
27.812500,5f31b585,0.189618
27.875000,5f31bec3,0.189405
27.937500,5f31c828,0.189193
28.000000,5f31d1b1,0.188982
28.062500,5f31db60,0.188771
28.125000,5f31e533,0.188561
28.187500,5f31ef2a,0.188352
28.250000,5f31f944,0.188143
28.312500,5f320380,0.187936
28.375000,5f320ddf,0.187729
28.437500,5f32185e,0.187522
28.500000,5f3222ff,0.187316
28.562500,5f322dc0,0.187111
28.625000,5f3238a0,0.186907
28.687500,5f3243a0,0.186703
28.750000,5f324ebe,0.186500
28.812500,5f3259fb,0.186298
28.875000,5f326554,0.186096
28.937500,5f3270cb,0.185895
29.000000,5f327c5e,0.185694
29.062500,5f32880d,0.185495
29.125000,5f3293d8,0.185296
29.187500,5f329fbd,0.185097
29.250000,5f32abbc,0.184899
29.312500,5f32b7d6,0.184702
29.375000,5f32c408,0.184505
29.437500,5f32d053,0.184309
29.500000,5f32dcb7,0.184114
29.562500,5f32e932,0.183919
29.625000,5f32f5c4,0.183725
29.687500,5f33026d,0.183532
29.750000,5f330f2d,0.183339
29.812500,5f331c02,0.183147
29.875000,5f3328ec,0.182955
29.937500,5f3335eb,0.182764
30.000000,5f3342ff,0.182573
30.062500,5f335026,0.182384
30.125000,5f335d60,0.182194
30.187500,5f336aae,0.182006
30.250000,5f33780e,0.181818
30.312500,5f338580,0.181630
30.375000,5f339303,0.181443
30.437500,5f33a098,0.181257
30.500000,5f33ae3d,0.181071
30.562500,5f33bbf2,0.180886
30.625000,5f33c9b7,0.180701
30.687500,5f33d78c,0.180517
30.750000,5f33e56f,0.180333
30.812500,5f33f361,0.180151
30.875000,5f340161,0.179968
30.937500,5f340f6e,0.179786
31.000000,5f341d89,0.179605
31.062500,5f342bb0,0.179424
31.125000,5f3439e4,0.179244
31.187500,5f344824,0.179064
31.250000,5f34566f,0.178885
31.312500,5f3464c6,0.178707
31.375000,5f347327,0.178529
31.437500,5f348193,0.178351
31.500000,5f349008,0.178174
31.562500,5f349e88,0.177998
31.625000,5f34ad10,0.177822
31.687500,5f34bba2,0.177646
31.750000,5f34ca3c,0.177471
31.812500,5f34d8de,0.177297
31.875000,5f34e788,0.177123
31.937500,5f34f63a,0.176950
32.000000,5f3504f2,0.176777
32.062500,5f34f8cd,0.176604
32.125000,5f34ecbb,0.176432
32.187500,5f34e0be,0.176261
32.250000,5f34d4d5,0.176090
32.312500,5f34c901,0.175920
32.375000,5f34bd43,0.175750
32.437500,5f34b199,0.175581
32.500000,5f34a604,0.175412
32.562500,5f349a84,0.175243
32.625000,5f348f1a,0.175075
32.687500,5f3483c5,0.174908
32.750000,5f347886,0.174741
32.812500,5f346d5c,0.174574
32.875000,5f346248,0.174408
32.937500,5f34574a,0.174243
33.000000,5f344c62,0.174078
33.062500,5f344190,0.173913
33.125000,5f3436d5,0.173749
33.187500,5f342c2f,0.173585
33.250000,5f3421a0,0.173422
33.312500,5f341728,0.173259
33.375000,5f340cc6,0.173097
33.437500,5f34027b,0.172935
33.500000,5f33f846,0.172774
33.562500,5f33ee29,0.172613
33.625000,5f33e422,0.172452
33.687500,5f33da32,0.172292
33.750000,5f33d05a,0.172133
33.812500,5f33c698,0.171973
33.875000,5f33bcee,0.171815
33.937500,5f33b35b,0.171656
34.000000,5f33a9e0,0.171499
34.062500,5f33a07c,0.171341
34.125000,5f33972f,0.171184
34.187500,5f338dfa,0.171028
34.250000,5f3384dd,0.170872
34.312500,5f337bd7,0.170716
34.375000,5f3372ea,0.170561
34.437500,5f336a14,0.170406
34.500000,5f336155,0.170251
34.562500,5f3358af,0.170097
34.625000,5f335021,0.169944
34.687500,5f3347ab,0.169791
34.750000,5f333f4d,0.169638
34.812500,5f333707,0.169485
34.875000,5f332ed9,0.169334
34.937500,5f3326c3,0.169182
35.000000,5f331ec6,0.169031
35.062500,5f3316e1,0.168880
35.125000,5f330f14,0.168730
35.187500,5f330760,0.168580
35.250000,5f32ffc4,0.168430
35.312500,5f32f840,0.168281
35.375000,5f32f0d5,0.168133
35.437500,5f32e983,0.167984
35.500000,5f32e249,0.167836
35.562500,5f32db27,0.167689
35.625000,5f32d41e,0.167542
35.687500,5f32cd2e,0.167395
35.750000,5f32c656,0.167248
35.812500,5f32bf97,0.167102
35.875000,5f32b8f1,0.166957
35.937500,5f32b263,0.166812
36.000000,5f32abee,0.166667
36.062500,5f32a592,0.166522
36.125000,5f329f4e,0.166378
36.187500,5f329923,0.166234
36.250000,5f329311,0.166091
36.312500,5f328d17,0.165948
36.375000,5f328737,0.165805
36.437500,5f32816f,0.165663
36.500000,5f327bbf,0.165521
36.562500,5f327629,0.165380
36.625000,5f3270ab,0.165238
36.687500,5f326b46,0.165098
36.750000,5f3265fa,0.164957
36.812500,5f3260c6,0.164817
36.875000,5f325bac,0.164677
36.937500,5f3256aa,0.164538
37.000000,5f3251c0,0.164399
37.062500,5f324cf0,0.164260
37.125000,5f324838,0.164122
37.187500,5f324399,0.163984
37.250000,5f323f12,0.163846
37.312500,5f323aa4,0.163709
37.375000,5f32364f,0.163572
37.437500,5f323213,0.163436
37.500000,5f322def,0.163299
37.562500,5f3229e3,0.163163
37.625000,5f3225f1,0.163028
37.687500,5f322217,0.162893
37.750000,5f321e55,0.162758
37.812500,5f321aac,0.162623
37.875000,5f32171b,0.162489
37.937500,5f3213a3,0.162355
38.000000,5f321043,0.162221
38.062500,5f320cfc,0.162088
38.125000,5f3209cd,0.161955
38.187500,5f3206b6,0.161823
38.250000,5f3203b8,0.161690
38.312500,5f3200d2,0.161558
38.375000,5f31fe04,0.161427
38.437500,5f31fb4f,0.161296
38.500000,5f31f8b1,0.161165
38.562500,5f31f62c,0.161034
38.625000,5f31f3bf,0.160904
38.687500,5f31f16a,0.160774
38.750000,5f31ef2d,0.160644
38.812500,5f31ed08,0.160514
38.875000,5f31eafb,0.160385
38.937500,5f31e906,0.160257
39.000000,5f31e729,0.160128
39.062500,5f31e563,0.160000
39.125000,5f31e3b6,0.159872
39.187500,5f31e220,0.159745
39.250000,5f31e0a2,0.159617
39.312500,5f31df3b,0.159490
39.375000,5f31ddec,0.159364
39.437500,5f31dcb5,0.159237
39.500000,5f31db95,0.159111
39.562500,5f31da8c,0.158986
39.625000,5f31d99b,0.158860
39.687500,5f31d8c1,0.158735
39.750000,5f31d7ff,0.158610
39.812500,5f31d754,0.158486
39.875000,5f31d6c0,0.158361
39.937500,5f31d643,0.158238
40.000000,5f31d5dd,0.158114
40.062500,5f31d58e,0.157990
40.125000,5f31d556,0.157867
40.187500,5f31d535,0.157745
40.250000,5f31d52b,0.157622
40.312500,5f31d538,0.157500
40.375000,5f31d55b,0.157378
40.437500,5f31d595,0.157256
40.500000,5f31d5e6,0.157135
40.562500,5f31d64d,0.157014
40.625000,5f31d6cb,0.156893
40.687500,5f31d75f,0.156772
40.750000,5f31d809,0.156652
40.812500,5f31d8ca,0.156532
40.875000,5f31d9a1,0.156412
40.937500,5f31da8e,0.156293
41.000000,5f31db91,0.156174
41.062500,5f31dcab,0.156055
41.125000,5f31ddda,0.155936
41.187500,5f31df1f,0.155818
41.250000,5f31e07a,0.155700
41.312500,5f31e1ea,0.155582
41.375000,5f31e371,0.155464
41.437500,5f31e50d,0.155347
41.500000,5f31e6be,0.155230
41.562500,5f31e885,0.155113
41.625000,5f31ea61,0.154997
41.687500,5f31ec53,0.154881
41.750000,5f31ee5a,0.154765
41.812500,5f31f076,0.154649
41.875000,5f31f2a7,0.154533
41.937500,5f31f4ee,0.154418
42.000000,5f31f749,0.154303
42.062500,5f31f9b9,0.154189
42.125000,5f31fc3e,0.154074
42.187500,5f31fed8,0.153960
42.250000,5f320186,0.153846
42.312500,5f320449,0.153732
42.375000,5f320721,0.153619
42.437500,5f320a0c,0.153506
42.500000,5f320d0d,0.153393
42.562500,5f321021,0.153280
42.625000,5f32134a,0.153168
42.687500,5f321687,0.153056
42.750000,5f3219d8,0.152944
42.812500,5f321d3d,0.152832
42.875000,5f3220b5,0.152721
42.937500,5f322442,0.152610
43.000000,5f3227e2,0.152499
43.062500,5f322b96,0.152388
43.125000,5f322f5d,0.152277
43.187500,5f323338,0.152167
43.250000,5f323727,0.152057
43.312500,5f323b29,0.151947
43.375000,5f323f3d,0.151838
43.437500,5f324366,0.151729
43.500000,5f3247a1,0.151620
43.562500,5f324bef,0.151511
43.625000,5f325050,0.151402
43.687500,5f3254c4,0.151294
43.750000,5f32594a,0.151186
43.812500,5f325de4,0.151078
43.875000,5f326290,0.150970
43.937500,5f32674e,0.150863
44.000000,5f326c1f,0.150756
44.062500,5f327102,0.150649
44.125000,5f3275f7,0.150542
44.187500,5f327aff,0.150435
44.250000,5f328018,0.150329
44.312500,5f328544,0.150223
44.375000,5f328a81,0.150117
44.437500,5f328fd1,0.150012
44.500000,5f329532,0.149906
44.562500,5f329aa4,0.149801
44.625000,5f32a028,0.149696
44.687500,5f32a5be,0.149591
44.750000,5f32ab65,0.149487
44.812500,5f32b11d,0.149383
44.875000,5f32b6e7,0.149279
44.937500,5f32bcc2,0.149175
45.000000,5f32c2ad,0.149071
45.062500,5f32c8aa,0.148968
45.125000,5f32ceb8,0.148864
45.187500,5f32d4d6,0.148761
45.250000,5f32db05,0.148659
45.312500,5f32e144,0.148556
45.375000,5f32e795,0.148454
45.437500,5f32edf5,0.148352
